timestamp,KWH,TemperatureC,Humidity
2014-05-01 00:00:00,46.5,3.9,100.0
2014-05-01 01:00:00,43.5,4.1499999999999995,96.5
2014-05-01 02:00:00,45.0,3.9,100.0
2014-05-01 03:00:00,45.75,3.5999999999999996,96.5
2014-05-01 04:00:00,45.25,3.3,97.0
2014-05-01 05:00:00,54.75,2.8,100.0
2014-05-01 06:00:00,68.5,2.9,100.0
2014-05-01 07:00:00,88.5,2.8,100.0
2014-05-01 08:00:00,108.5,3.3,97.0
2014-05-01 09:00:00,120.5,4.4,93.0
2014-05-01 10:00:00,133.0,5.0,93.0
2014-05-01 11:00:00,129.25,5.6,89.0
2014-05-01 12:00:00,123.0,6.05,86.5
2014-05-01 13:00:00,115.75,6.95,81.0
2014-05-01 14:00:00,112.5,7.1,80.5
2014-05-01 15:00:00,112.0,7.8,76.0
2014-05-01 16:00:00,104.25,9.4,69.0
2014-05-01 17:00:00,90.75,9.4,69.0
2014-05-01 18:00:00,79.0,8.9,68.0
2014-05-01 19:00:00,73.75,8.933333333333332,70.0
2014-05-01 20:00:00,57.0,8.600000000000001,72.5
2014-05-01 21:00:00,57.75,8.3,71.0
2014-05-01 22:00:00,57.5,7.8,73.0
2014-05-01 23:00:00,49.75,7.8,73.0
2014-05-02 00:00:00,48.25,7.2,76.0
2014-05-02 01:00:00,46.0,7.2,76.0
2014-05-02 02:00:00,45.5,7.2,76.0
2014-05-02 03:00:00,44.5,6.7,82.0
2014-05-02 04:00:00,44.5,6.7,82.0
2014-05-02 05:00:00,54.75,6.1,86.0
2014-05-02 06:00:00,69.75,5.6,89.0
2014-05-02 07:00:00,95.5,6.1,82.0
2014-05-02 08:00:00,102.75,6.7,79.0
2014-05-02 09:00:00,109.5,7.8,73.0
2014-05-02 10:00:00,113.5,11.7,57.0
2014-05-02 11:00:00,107.0,12.2,55.0
2014-05-02 12:00:00,108.0,14.15,46.5
2014-05-02 13:00:00,109.75,13.9,49.0
2014-05-02 14:00:00,106.25,12.8,62.0
2014-05-02 15:00:00,103.25,12.2,66.0
2014-05-02 16:00:00,96.0,12.2,66.0
2014-05-02 17:00:00,81.25,13.3,60.0
2014-05-02 18:00:00,60.5,13.0,58.0
2014-05-02 19:00:00,57.75,12.8,57.0
2014-05-02 20:00:00,59.0,11.1,63.0
2014-05-02 21:00:00,52.25,10.6,66.0
2014-05-02 22:00:00,48.0,9.4,71.0
2014-05-02 23:00:00,48.5,8.9,63.0
2014-05-03 00:00:00,45.5,8.9,56.0
2014-05-03 01:00:00,46.25,8.3,56.0
2014-05-03 02:00:00,44.0,7.2,60.0
2014-05-03 03:00:00,43.25,6.1,68.0
2014-05-03 04:00:00,44.75,7.0,66.0
2014-05-03 05:00:00,44.0,6.1,71.0
2014-05-03 06:00:00,44.0,6.7,71.0
2014-05-03 07:00:00,44.75,7.2,68.0
2014-05-03 08:00:00,61.25,9.4,59.0
2014-05-03 09:00:00,60.75,11.1,50.0
2014-05-03 10:00:00,60.25,11.7,52.0
2014-05-03 11:00:00,58.75,12.2,53.0
2014-05-03 12:00:00,59.75,13.9,45.0
2014-05-03 13:00:00,61.0,15.0,39.0
2014-05-03 14:00:00,59.5,14.0,41.0
2014-05-03 15:00:00,59.25,13.3,39.0
2014-05-03 16:00:00,58.0,13.9,34.0
2014-05-03 17:00:00,59.75,13.3,36.0
2014-05-03 18:00:00,40.75,12.2,41.0
2014-05-03 19:00:00,41.0,11.7,45.0
2014-05-03 20:00:00,42.0,10.0,52.0
2014-05-03 21:00:00,40.75,9.4,54.0
2014-05-03 22:00:00,42.75,8.9,56.0
2014-05-03 23:00:00,42.5,8.3,56.0
2014-05-04 00:00:00,43.5,7.2,58.0
2014-05-04 01:00:00,43.5,6.1,60.0
2014-05-04 02:00:00,43.0,5.6,60.0
2014-05-04 03:00:00,42.75,4.4,63.0
2014-05-04 04:00:00,42.75,3.3,70.0
2014-05-04 05:00:00,43.25,2.8,70.0
2014-05-04 06:00:00,42.5,3.3,70.0
2014-05-04 07:00:00,43.5,4.4,65.0
2014-05-04 08:00:00,61.25,5.0,62.0
2014-05-04 09:00:00,60.5,6.1,58.0
2014-05-04 10:00:00,60.25,7.8,47.0
2014-05-04 11:00:00,60.25,10.0,39.0
2014-05-04 12:00:00,60.0,11.7,32.0
2014-05-04 13:00:00,60.5,11.95,32.5
2014-05-04 14:00:00,59.75,13.3,30.0
2014-05-04 15:00:00,60.5,12.8,29.0
2014-05-04 16:00:00,60.0,13.9,28.0
2014-05-04 17:00:00,59.5,13.3,27.0
2014-05-04 18:00:00,41.0,12.8,33.0
2014-05-04 19:00:00,39.75,12.8,31.0
2014-05-04 20:00:00,41.0,12.2,35.0
2014-05-04 21:00:00,40.75,12.2,34.0
2014-05-04 22:00:00,40.75,12.2,35.0
2014-05-04 23:00:00,40.0,11.7,38.0
2014-05-05 00:00:00,41.5,11.7,40.0
2014-05-05 01:00:00,40.25,11.1,43.0
2014-05-05 02:00:00,41.25,11.1,43.0
2014-05-05 03:00:00,40.0,10.6,44.0
2014-05-05 04:00:00,41.0,10.6,44.0
2014-05-05 05:00:00,51.5,10.6,44.0
2014-05-05 06:00:00,66.5,10.0,50.0
2014-05-05 07:00:00,85.0,10.6,48.0
2014-05-05 08:00:00,104.0,12.2,41.0
2014-05-05 09:00:00,106.0,12.8,38.0
2014-05-05 10:00:00,109.5,13.3,39.0
2014-05-05 11:00:00,115.75,14.4,37.0
2014-05-05 12:00:00,105.75,16.0,34.0
2014-05-05 13:00:00,111.0,16.1,32.0
2014-05-05 14:00:00,119.5,16.7,31.0
2014-05-05 15:00:00,106.0,16.7,34.0
2014-05-05 16:00:00,98.5,17.2,31.0
2014-05-05 17:00:00,84.25,17.2,35.0
2014-05-05 18:00:00,77.25,16.7,35.0
2014-05-05 19:00:00,69.25,16.1,35.0
2014-05-05 20:00:00,53.0,15.0,36.0
2014-05-05 21:00:00,50.0,14.4,37.0
2014-05-05 22:00:00,51.0,13.0,41.0
2014-05-05 23:00:00,49.0,12.2,45.0
2014-05-06 00:00:00,45.25,11.1,50.0
2014-05-06 01:00:00,43.5,10.6,54.0
2014-05-06 02:00:00,42.0,8.3,68.0
2014-05-06 03:00:00,44.5,8.3,68.0
2014-05-06 04:00:00,40.75,8.3,68.0
2014-05-06 05:00:00,53.0,8.3,68.0
2014-05-06 06:00:00,79.5,8.3,68.0
2014-05-06 07:00:00,87.25,10.0,59.0
2014-05-06 08:00:00,107.0,12.8,49.0
2014-05-06 09:00:00,113.5,12.8,49.0
2014-05-06 10:00:00,114.25,13.9,44.0
2014-05-06 11:00:00,108.75,14.4,39.0
2014-05-06 12:00:00,110.0,16.1,34.0
2014-05-06 13:00:00,113.25,16.7,34.0
2014-05-06 14:00:00,109.25,17.8,34.0
2014-05-06 15:00:00,109.0,18.3,34.0
2014-05-06 16:00:00,99.75,17.8,35.0
2014-05-06 17:00:00,83.5,17.8,35.0
2014-05-06 18:00:00,77.75,17.8,37.0
2014-05-06 19:00:00,75.5,17.2,38.0
2014-05-06 20:00:00,63.0,16.1,41.0
2014-05-06 21:00:00,54.5,15.6,42.0
2014-05-06 22:00:00,56.25,13.9,47.0
2014-05-06 23:00:00,50.25,13.3,49.0
2014-05-07 00:00:00,45.75,13.3,49.0
2014-05-07 01:00:00,44.5,12.8,51.0
2014-05-07 02:00:00,43.0,12.2,53.0
2014-05-07 03:00:00,43.5,11.7,55.0
2014-05-07 04:00:00,44.75,11.7,55.0
2014-05-07 05:00:00,54.5,11.1,54.0
2014-05-07 06:00:00,69.75,11.1,54.0
2014-05-07 07:00:00,91.25,10.6,57.5
2014-05-07 08:00:00,101.5,11.399999999999999,59.0
2014-05-07 09:00:00,116.0,12.2,62.0
2014-05-07 10:00:00,109.5,14.4,60.0
2014-05-07 11:00:00,110.0,16.0,55.0
2014-05-07 12:00:00,114.75,16.7,58.0
2014-05-07 13:00:00,113.75,17.8,56.0
2014-05-07 14:00:00,112.0,17.75,57.0
2014-05-07 15:00:00,113.0,16.7,62.0
2014-05-07 16:00:00,109.5,16.7,62.0
2014-05-07 17:00:00,85.75,16.7,62.0
2014-05-07 18:00:00,75.75,17.2,63.0
2014-05-07 19:00:00,70.5,17.2,63.0
2014-05-07 20:00:00,54.5,16.1,67.0
2014-05-07 21:00:00,47.5,15.533333333333333,68.0
2014-05-07 22:00:00,48.25,13.3,75.0
2014-05-07 23:00:00,43.75,12.925,73.5
2014-05-08 00:00:00,45.0,12.233333333333334,81.0
2014-05-08 01:00:00,43.5,11.866666666666665,85.0
2014-05-08 02:00:00,43.0,11.05,88.5
2014-05-08 03:00:00,42.75,10.6,96.0
2014-05-08 04:00:00,42.5,10.85,94.5
2014-05-08 05:00:00,53.25,10.6,96.0
2014-05-08 06:00:00,88.0,11.1,93.0
2014-05-08 07:00:00,83.25,11.5,91.66666666666667
2014-05-08 08:00:00,100.5,11.25,97.5
2014-05-08 09:00:00,111.75,14.4,90.0
2014-05-08 10:00:00,119.5,16.1,81.0
2014-05-08 11:00:00,109.5,17.0,77.0
2014-05-08 12:00:00,117.0,19.0,73.0
2014-05-08 13:00:00,112.25,20.3,66.5
2014-05-08 14:00:00,114.5,19.4,70.0
2014-05-08 15:00:00,110.75,18.8,78.75
2014-05-08 16:00:00,99.5,14.675000000000002,96.75
2014-05-08 17:00:00,86.25,14.7,91.5
2014-05-08 18:00:00,81.25,14.4,93.0
2014-05-08 19:00:00,75.0,14.275,93.75
2014-05-08 20:00:00,57.5,14.15,96.5
2014-05-08 21:00:00,56.5,14.4,97.0
2014-05-08 22:00:00,53.5,14.049999999999999,98.25
2014-05-08 23:00:00,48.75,13.9,100.0
2014-05-09 00:00:00,45.75,15.6,93.0
2014-05-09 01:00:00,44.0,15.6,91.5
2014-05-09 02:00:00,42.75,14.299999999999999,91.0
2014-05-09 03:00:00,43.5,12.700000000000001,93.33333333333333
2014-05-09 04:00:00,42.0,10.6,96.0
2014-05-09 05:00:00,54.5,9.4,93.0
2014-05-09 06:00:00,63.75,9.0,93.0
2014-05-09 07:00:00,87.0,8.9,89.0
2014-05-09 08:00:00,97.75,8.9,86.0
2014-05-09 09:00:00,107.0,8.9,83.0
2014-05-09 10:00:00,112.5,9.233333333333334,80.0
2014-05-09 11:00:00,112.0,9.4,74.0
2014-05-09 12:00:00,118.25,10.0,74.0
2014-05-09 13:00:00,115.75,10.0,74.0
2014-05-09 14:00:00,113.0,10.6,71.0
2014-05-09 15:00:00,104.75,11.7,69.0
2014-05-09 16:00:00,91.0,13.3,60.0
2014-05-09 17:00:00,79.5,13.3,57.0
2014-05-09 18:00:00,60.5,13.3,49.0
2014-05-09 19:00:00,54.75,12.8,51.0
2014-05-09 20:00:00,57.0,11.7,55.0
2014-05-09 21:00:00,51.75,10.6,59.0
2014-05-09 22:00:00,47.75,9.4,66.0
2014-05-09 23:00:00,47.25,9.0,71.0
2014-05-10 00:00:00,48.0,8.3,74.0
2014-05-10 01:00:00,45.5,7.2,82.0
2014-05-10 02:00:00,45.25,6.7,82.0
2014-05-10 03:00:00,44.5,6.7,82.0
2014-05-10 04:00:00,45.25,5.6,89.0
2014-05-10 05:00:00,44.25,6.0,87.0
2014-05-10 06:00:00,45.5,6.7,85.0
2014-05-10 07:00:00,44.0,8.9,80.0
2014-05-10 08:00:00,61.75,11.1,69.0
2014-05-10 09:00:00,59.25,15.0,42.0
2014-05-10 10:00:00,61.0,15.6,41.0
2014-05-10 11:00:00,57.25,16.7,39.0
2014-05-10 12:00:00,59.5,18.3,40.0
2014-05-10 13:00:00,58.5,19.4,39.0
2014-05-10 14:00:00,59.5,20.6,42.0
2014-05-10 15:00:00,60.75,20.6,40.0
2014-05-10 16:00:00,60.75,20.0,43.0
2014-05-10 17:00:00,59.25,17.2,67.0
2014-05-10 18:00:00,43.25,17.2,65.0
2014-05-10 19:00:00,44.0,16.05,71.0
2014-05-10 20:00:00,43.0,15.0,80.0
2014-05-10 21:00:00,44.25,13.9,87.0
2014-05-10 22:00:00,43.25,13.9,87.0
2014-05-10 23:00:00,43.0,13.3,90.0
2014-05-11 00:00:00,42.5,12.2,93.0
2014-05-11 01:00:00,43.75,12.2,90.0
2014-05-11 02:00:00,42.5,11.7,93.0
2014-05-11 03:00:00,43.25,9.4,100.0
2014-05-11 04:00:00,42.5,10.0,96.0
2014-05-11 05:00:00,42.75,10.6,100.0
2014-05-11 06:00:00,42.5,10.6,96.0
2014-05-11 07:00:00,42.25,13.3,87.0
2014-05-11 08:00:00,62.75,14.4,84.0
2014-05-11 09:00:00,58.75,15.6,75.0
2014-05-11 10:00:00,59.0,16.1,72.0
2014-05-11 11:00:00,59.25,18.3,63.0
2014-05-11 12:00:00,61.0,18.3,65.0
2014-05-11 13:00:00,62.0,17.2,72.0
